hours,CpG,TT,TC,CT,CC
2,1,0,18,4,514
2,2,1,17,8,514
2,3,1,20,7,511
2,4,1,12,10,517
2,5,0,9,12,516
2,6,1,10,15,506
2,7,0,15,7,511
4,1,2,8,5,570
4,2,2,9,12,559
4,3,2,26,7,548
4,4,1,4,11,567
4,5,1,5,8,567
4,6,0,5,7,577
4,7,0,12,17,557
6,1,1,7,7,283
6,2,1,14,10,274
6,3,0,8,3,288
6,4,0,8,5,287
6,5,0,4,5,289
6,6,0,8,7,287
6,7,0,8,5,284
8,1,1,39,8,842
8,2,1,29,7,849
8,3,0,17,19,840
8,4,0,21,20,849
8,5,0,28,23,841
8,6,0,15,17,851
8,7,0,13,19,839
10,1,0,9,6,723
10,2,0,10,18,715
10,3,0,27,9,703
10,4,1,14,14,714
10,5,0,9,12,723
10,6,1,21,8,707
10,7,0,10,8,715
12,1,0,14,6,545
12,2,1,18,17,533
12,3,1,11,20,535
12,4,0,12,22,539
12,5,0,13,20,531
12,6,1,13,6,544
12,7,0,8,7,551
14,1,1,2,4,236
14,2,2,7,3,231
14,3,0,14,4,226
14,4,1,7,3,232
14,5,1,2,9,235
14,6,1,7,8,225
14,7,0,9,5,227
16,1,1,9,10,302
16,2,1,7,14,298
16,3,1,4,2,311
16,4,1,4,8,305
16,5,3,6,6,305
16,6,0,6,4,313
16,7,1,9,14,294
18,1,0,4,5,555
18,2,1,8,12,543
18,3,0,20,12,533
18,4,0,16,8,536
18,5,0,8,12,539
18,6,0,15,2,545
18,7,1,6,13,541
20,1,0,6,8,347
20,2,0,4,6,354
20,3,0,9,1,348
20,4,0,9,12,338
20,5,0,7,9,346
20,6,0,10,5,347
20,7,2,4,12,338
24,1,0,12,8,800
24,2,0,15,10,796
24,3,0,17,12,782
24,4,0,13,17,791
24,5,1,27,19,777
24,6,1,15,11,795
24,7,0,15,19,781
